Part#|Plant|Warehouse|Inv. Lov|QTY|Dept|Stock Date
7137229750|1815|181|LOST&FOUND|5000.000|F|20251201
71851965|1815|181|REC.DOCK|96.000|F|20260108
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02D02|5000.000|F|20251205
7137229750|1815|181|D01-02C01|5000.000|F|20251209
