Part#|Plant|Warehouse|Inv. Lov|Box Unit|Dept|Stock Date
000000007298100740|1815|181|SORT2|96.000|E|20260129
000000007298100740|1815|181|SORT2|96.000|E|20260129
000000007298100740|1815|181|SORT2|96.000|E|20260129
000000007298100740|1815|181|SORT2|96.000|E|20260129
000000007298100740|1815|181|SORT2|96.000|E|20260129
000000007298100740|1815|181|SORT2|96.000|E|20260129
000000007298100740|1815|181|SORT2|96.000|E|20260129
000000007298100740|1815|181|SORT2|96.000|E|20260129
000000007298100740|1815|181|SORT2|96.000|E|20260129
000000007298100740|1815|181|SORT2|96.000|E|20260130
000000007298100130|1815|181|SORT2|96.000|E|20260130
000000007298100740|1815|181|SORT2|96.000|E|20260130
000000007298100740|1815|181|SORT2|96.000|E|20260130
000000007298100740|1815|181|SORT2|96.000|E|20260130
000000007298100740|1815|181|SORT2|96.000|E|20260130
000000007298100740|1815|181|SORT2|96.000|E|20260130
000000007298100130|1815|181|SORT2|96.000|E|20260130
000000007289729330|1815|181|SORT2|256.000|E|20260130
000000007289729330|1815|181|SORT2|256.000|E|20260130
000000007289729330|1815|181|SORT2|256.000|E|20260130
000000007289729330|1815|181|SORT2|256.000|E|20260130
000000007298100130|1815|181|SORT2|96.000|E|20260130
000000007298100740|1815|181|SORT2|96.000|E|20260130
000000007289729330|1815|181|SORT2|256.000|E|20260130
000000007298100740|1815|181|SORT2|96.000|E|20260130
000000007298100740|1815|181|SORT2|96.000|E|20260131
000000007289729330|1815|181|SORT2|256.000|E|20260131
000000007289729330|1815|181|SORT2|256.000|E|20260131
000000007289729330|1815|181|SORT2|256.000|E|20260131
000000007298100740|1815|181|SORT2|96.000|E|20260131
000000007298100740|1815|181|SORT2|96.000|E|20260131
000000007298100740|1815|181|SORT2|96.000|E|20260131
000000007298100740|1815|181|SORT2|96.000|E|20260131
000000007298100740|1815|181|SORT2|96.000|E|20260131
000000007298100740|1815|181|SORT2|96.000|E|20260131
000000007298100130|1815|181|SORT2|96.000|E|20260131
000000007289729330|1815|181|SORT2|256.000|E|20260131
000000007289729330|1815|181|SORT2|256.000|E|20260131
000000007289729330|1815|181|SORT2|256.000|E|20260131
000000007298100130|1815|181|SORT2|96.000|E|20260131
000000007298100130|1815|181|SORT2|96.000|E|20260131
000000007289729330|1815|181|SORT2|256.000|E|20260131
000000007289729330|1815|181|SORT2|256.000|E|20260131
000000007298100130|1815|181|SORT2|96.000|E|20260131
000000007298100130|1815|181|SORT2|96.000|E|20260131
000000007298100130|1815|181|SORT2|96.000|E|20260131
000000007298100130|1815|181|SORT2|96.000|E|20260131
000000007298100130|1815|181|SORT2|96.000|E|20260131
000000007289729330|1815|181|SORT2|256.000|E|20260131
000000007289729330|1815|181|SORT2|256.000|E|20260131
000000007289729330|1815|181|SORT2|256.000|E|20260131
000000007298100130|1815|181|SORT2|96.000|E|20260131
000000007298100740|1815|181|SORT2|96.000|E|20260131
000000007298100740|1815|181|SORT2|96.000|E|20260131
000000007289729330|1815|181|SORT2|256.000|E|20260131
000000007298100740|1815|181|SORT2|96.000|E|20260131
000000007298100740|1815|181|SORT2|96.000|E|20260131
000000007298100740|1815|181|SORT2|96.000|E|20260131
000000007298100740|1815|181|SORT2|96.000|E|20260131
000000007289729330|1815|181|SORT2|256.000|E|20260131
000000007289729330|1815|181|SORT2|256.000|E|20260131
000000007289729330|1815|181|SORT2|256.000|E|20260131
000000007289729330|1815|181|SORT2|256.000|E|20260131
000000007289729330|1815|181|SORT2|256.000|E|20260131
000000007298100740|1815|181|SORT2|96.000|E|20260131
000000007298100740|1815|181|SORT2|96.000|E|20260131
000000007298100740|1815|181|SORT2|96.000|E|20260131
000000007297101330|1815|181|SORT2|150.000|E|20260131
000000007298100130|1815|181|SORT2|96.000|E|20260131
000000007298100740|1815|181|SORT2|96.000|E|20260131
000000007289729330|1815|181|SORT2|256.000|E|20260131
000000007289729330|1815|181|SORT2|256.000|E|20260131
000000007289729330|1815|181|SORT2|256.000|E|20260131
000000007289729330|1815|181|SORT2|256.000|E|20260131
000000007298100740|1815|181|SORT2|96.000|E|20260131
000000007298100740|1815|181|SORT2|96.000|E|20260131
000000007298100740|1815|181|SORT2|96.000|E|20260131
000000007298100740|1815|181|SORT2|96.000|E|20260131
000000007298100130|1815|181|SORT2|96.000|E|20260131
000000007298100130|1815|181|SORT2|96.000|E|20260131
000000007298100130|1815|181|SORT2|96.000|E|20260131
000000007298100130|1815|181|SORT2|96.000|E|20260131
000000007298100740|1815|181|SORT2|96.000|E|20260131
000000007298100740|1815|181|SORT2|96.000|E|20260131
000000007298100130|1815|181|SORT2|96.000|E|20260131
000000007298100740|1815|181|SORT2|96.000|E|20260131
000000007298100130|1815|181|SORT2|96.000|E|20260131
000000007298100130|1815|181|SORT2|96.000|E|20260131
000000007298100130|1815|181|SORT2|96.000|E|20260131
000000007298100740|1815|181|SORT2|96.000|E|20260131
000000007298100130|1815|181|SORT2|96.000|E|20260201
000000007298100130|1815|181|SORT2|96.000|E|20260201
000000007289729330|1815|181|SORT2|256.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007289729330|1815|181|SORT2|256.000|E|20260201
000000007298100130|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100130|1815|181|SORT2|96.000|E|20260201
000000007298100130|1815|181|SORT2|96.000|E|20260201
000000007298100130|1815|181|SORT2|96.000|E|20260201
000000007289729330|1815|181|SORT2|256.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007289729330|1815|181|SORT2|256.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007289729330|1815|181|SORT2|256.000|E|20260201
000000007289729330|1815|181|SORT2|256.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007297101330|1815|181|SORT2|150.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260201
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100130|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100130|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007297483830|1815|181|SORT2|150.000|E|20260202
000000007297483830|1815|181|SORT2|150.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100130|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
