Inventory Location|Box Unit|Part No.||Dept
917|SORT2|244|000000007183557410|20260201|E
917|SORT2|244|000000007183557410|20260201|E
917|SORT2|244|000000007183557410|20260201|E
917|SORT2|244|000000007183557410|20260201|E
917|SORT2|244|000000007183557410|20260201|E
917|SORT2|244|000000007183557410|20260201|E
917|SORT2|244|000000007183557410|20260201|E
917|SORT2|244|000000007183557410|20260202|E
917|SORT2|244|000000007183557410|20260202|E
917|SORT2|244|000000007183557410|20260202|E
917|SORT2|244|000000007183557410|20260202|E
917|SORT2|244|000000007183557410|20260202|E
917|SORT2|244|000000007183557410|20260202|E
917|SORT2|110|000000007188819830|20260201|E
917|SORT2|110|000000007188819830|20260201|E
917|SORT2|110|000000007188819830|20260201|E
917|SORT2|110|000000007188819830|20260201|E
917|SORT2|110|000000007188819830|20260201|E
917|SORT2|244|000000007183557410|20260201|E
917|SORT2|244|000000007183557410|20260201|E
917|SORT2|244|000000007183557410|20260201|E
917|SORT2|244|000000007183557410|20260201|E
917|SORT2|244|000000007183557410|20260201|E
917|SORT2|244|000000007183557410|20260201|E
917|SORT2|244|000000007183557410|20260131|E
917|SORT2|244|000000007183557410|20260201|E
917|SORT2|244|000000007183557410|20260202|E
917|SORT2|244|000000007183557410|20260202|E
917|SORT2|244|000000007183557410|20260202|E
917|SORT2|244|000000007183557410|20260202|E
917|SORT2|244|000000007183557410|20260202|E
917|SORT2|244|000000007183557410|20260202|E
917|SORT2|244|000000007183557410|20260202|E
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|110|000000007188819830|20260202|E
917|SORT2|110|000000007188819830|20260202|E
917|SORT2|110|000000007188819830|20260202|E
917|SORT2|110|000000007188819830|20260202|E
917|SORT2|110|000000007188819830|20260202|E
917|SORT2|110|000000007188819830|20260202|E
917|SORT2|110|000000007188819830|20260202|E
917|SORT2|110|000000007188819830|20260202|E
917|SORT2|110|000000007188819830|20260202|E
917|SORT2|110|000000007188819830|20260201|E
917|SORT2|110|000000007188819830|20260202|E
917|SORT2|110|000000007188819830|20260202|E
917|SORT2|110|000000007188819830|20260202|E
917|SORT2|110|000000007188819830|20260202|E
917|SORT2|110|000000007188819830|20260202|E
917|SORT2|110|000000007188819830|20260202|E
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|244|000000007183557410|20260202|E
917|SORT2|244|000000007183557410|20260202|E
917|SORT2|244|000000007183557410|20260202|E
917|SORT2|244|000000007183557410|20260202|E
917|SORT2|244|000000007183557410|20260202|E
917|SORT2|244|000000007183557410|20260202|E
917|SORT2|244|000000007183557410|20260202|E
917|SORT2|244|000000007183557410|20260202|E
917|SORT2|244|000000007183557410|20260202|E
917|SORT2|244|000000007183557410|20260202|E
917|SORT2|244|000000007183557410|20260202|E
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|120|000000007189820130|20260202|E
