Fecha|Part#|Turno|Piezas|Estandar|Cost|Linea|Celda|Planta|Dado|Time
20251105|71741436|1|240.000|240.000|20.88|E1C11001|E1C|1815|C11-02|105540
20251120|71474069|1|3000.000|3000.000|122.08|E1C11001|E1C|1815|C11-02|105515
20251119|71348887|1|800.000|800.000|22.21|E1C11001|E1C|1815|C11-02|105445
20251103|71742054|1|16.000|16.000|12.43|E1C11001|E1C|1815|C11-02|105445
20251203|7123621440|1|2500.000|2500.000|113.03|E1C11001|E1C|1815|C11-02|105442
20251102|7123422030|1|800.000|800.000|97.11|E1C11001|E1C|1815|C11-02|143029
20251113|7123501430|1|2000.000|2000.000|40.45|E1C11001|E1C|1815|C11-02|105419
20251108|71742054|1|16.000|16.000|12.43|E1C11001|E1C|1815|C11-02|105439
20251127|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|105439
20251211|71850543|1|1600.000|1600.000|71.55|E1C11001|E1C|1815|C11-02|105434
20251110|71734533|1|4000.000|4000.000|34.99|E1C11001|E1C|1815|C11-02|173115
20251107|7147880330|1|2000.000|2000.000|74.87|E1C11001|E1C|1815|C11-02|162859
20251113|7172179930|1|150.000|150.000|10.82|E1C11001|E1C|1815|C11-02|162859
20251014|7158708050|1|6000.000|6000.000|131.38|E1C11001|E1C|1815|C11-02|105349
20251121|71734533|1|4000.000|4000.000|34.99|E1C11001|E1C|1815|C11-02|105349
20251122|7173453240|1|4000.000|4000.000|34.34|E1C11001|E1C|1815|C11-02|143016
20251017|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|113146
20251014|7173553430|1|250.000|250.000|11.15|E1C11001|E1C|1815|C11-02|173637
20251208|7158617440|1|4000.000|4000.000|87.25|E1C11001|E1C|1815|C11-02|105526
20251118|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|143015
20251030|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|143023
20251210|7123501430|1|2000.000|2000.000|40.45|E1C11001|E1C|1815|C11-02|113149
20251125|7123754440|1|770.000|770.000|85.97|E1C11001|E1C|1815|C11-02|105457
20251112|7172179830|1|150.000|150.000|11.00|E1C11001|E1C|1815|C11-02|143012
20251030|7174022330|1|250.000|250.000|29.57|E1C11001|E1C|1815|C11-02|173132
20251014|7173553430|1|250.000|250.000|11.15|E1C11001|E1C|1815|C11-02|105541
20251019|71734533|1|4000.000|4000.000|34.99|E1C11001|E1C|1815|C11-02|105541
20251022|71231508|1|800.000|800.000|89.76|E1C11001|E1C|1815|C11-02|105441
20251208|7158617440|1|4000.000|4000.000|87.25|E1C11001|E1C|1815|C11-02|113154
20251217|7173553430|1|250.000|250.000|11.15|E1C11001|E1C|1815|C11-02|102439
20251013|71734535|1|4000.000|4000.000|49.68|E1C11001|E1C|1815|C11-02|112500
20251103|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|112500
20251107|71741436|1|240.000|240.000|20.88|E1C11001|E1C|1815|C11-02|112500
20251218|7157642080|1|3000.000|3000.000|86.04|E1C11001|E1C|1815|C11-02|112500
20251102|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|113139
20251115|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|102433
20251210|7122412330|1|700.000|700.000|58.73|E1C11001|E1C|1815|C11-02|173641
20251031|71741436|1|240.000|240.000|20.88|E1C11001|E1C|1815|C11-02|173227
20251018|7173542030|1|300.000|300.000|12.73|E1C11001|E1C|1815|C11-02|115638
20251028|7173453440|1|4000.000|4000.000|42.36|E1C11001|E1C|1815|C11-02|102417
20251114|71851037|1|250.000|250.000|40.77|E1C11001|E1C|1815|C11-02|105444
20251031|71742054|1|16.000|16.000|12.43|E1C11001|E1C|1815|C11-02|105520
20251126|7172179730|1|120.000|120.000|10.06|E1C11001|E1C|1815|C11-02|173151
20251014|7123501430|1|2000.000|2000.000|40.45|E1C11001|E1C|1815|C11-02|113128
20251111|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|113128
20251020|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|173643
20251105|7123754440|1|770.000|770.000|85.97|E1C11001|E1C|1815|C11-02|173117
20251027|7173453240|1|4000.000|4000.000|34.34|E1C11001|E1C|1815|C11-02|112655
20251013|7123501430|1|2000.000|2000.000|40.45|E1C11001|E1C|1815|C11-02|173131
20251207|7123501430|1|2000.000|2000.000|40.45|E1C11001|E1C|1815|C11-02|150011
20251112|7158617440|1|4000.000|4000.000|87.25|E1C11001|E1C|1815|C11-02|173712
20251025|71741436|1|240.000|240.000|20.88|E1C11001|E1C|1815|C11-02|150038
20251210|7183772540|1|2000.000|2000.000|79.19|E1C11001|E1C|1815|C11-02|150038
20251124|7122412330|1|700.000|700.000|58.73|E1C11001|E1C|1815|C11-02|150030
20251015|7173453240|1|4000.000|4000.000|34.34|E1C11001|E1C|1815|C11-02|102426
20251202|71281030|1|4000.000|4000.000|87.80|E1C11001|E1C|1815|C11-02|162903
20251022|7152565930|1|180.000|180.000|28.63|E1C11001|E1C|1815|C11-02|113122
20251204|7158617440|1|4000.000|4000.000|87.25|E1C11001|E1C|1815|C11-02|115647
20251023|7173542030|1|300.000|300.000|12.73|E1C11001|E1C|1815|C11-02|135832
