Plant|Maquina|Celda|Fecha|Hora inicio|Part #|Dado|Cavidades|T ciclico|Resina
1815|F0604052|F06|20260204|015514|000000007158583890|Y2|8.0000000000000000E+00|16.013|M510018800
1815|F0411042|F04|20260204|063515|000000007158597450|UA1|8.0000000000000000E+00|17.597|M510006150
1815|G0105027|G01|20260204|080622|000000007158598950|UA1|8.0000000000000000E+00|17.712|M510006150
1815|G0405033|G04|20260204|094851|000000007158599050|UA1|8.0000000000000000E+00|15.725|M510006150
1815|F0411003|F04|20260204|070627|000000007158621350|UA1|4.0000000000000000E+00|16.502|M510006151
1815|F0604051|F06|20260204|105149|000000007158699350|UA1|8.0000000000000000E+00|19.987|M510017200
1815|F0605015|F06|20260204|110306|000000007172095550|YA1|8.0000000000000000E+00|12.614|M510129100
1815|G0201503|G02|20260204|024241|000000007172107590|Y1|4.0000000000000000E+00|15.005|M510092600
1815|G0201502|G02|20260204|094328|000000007172107650|Y1|4.0000000000000000E+00|16.200|M510092600
1815|F0605001|F06|20260204|013223|000000007172137550|Y2|1.6000000000000000E+01|13.709|M510129100
1815|F0101027|F01|20260204|005946|000000007172149250|Y1|4.0000000000000000E+00|15.998|M510055500
1815|F0101505|F01|20260204|003757|000000007172154530|YA1|2.0000000000000000E+00|15.502|M510017230
1815|F0605016|F06|20260204|034813|000000007172185850|YA1|8.0000000000000000E+00|13.997|M510017200
1815|G0105014|G01|20260204|082007|000000007172202330|M1|8.0000000000000000E+00|16.992|M510055530
1815|G0311005|G03|20260204|095043|000000007173305960|Y1|4.0000000000000000E+00|26.294|M510092600
1815|G0305028|G03|20260204|010627|000000007173362030|Y2|4.0000000000000000E+00|24.005|M510055530
1815|G0311041|G03|20260204|041434|000000007173362430|M1|4.0000000000000000E+00|27.000|M510055530
1815|T2G03001|T2G|20260204|050018|000000007173537030|TROQUEL 52P|0.0000000000000000E+00|0.000|M510055530
1815|T2G03001|T2G|20260204|095542|000000007173583930|TROQUEL 52P|0.0000000000000000E+00|0.000|M510055530
1815|T2G03001|T2G|20260204|094643|000000007173613030|TROQUEL 52P|0.0000000000000000E+00|0.000|M510055530
1815|T2G03001|T2G|20260204|003130|000000007173642030|TROQUEL 52P|0.0000000000000000E+00|0.000|M510055530
1815|T2G03002|T2G|20260204|020054|000000007173738430|TROQUEL 52P|0.0000000000000000E+00|0.000|M510055530
1815|T2G03001|T2G|20260204|095702|000000007173741930|TROQUEL 52P|0.0000000000000000E+00|0.000|M510055530
1815|T2G03001|T2G|20260204|045939|000000007173792530|TROQUEL 52P|0.0000000000000000E+00|0.000|M510055530
1815|T2G03001|T2G|20260204|095108|000000007173792730|TROQUEL 52P|0.0000000000000000E+00|0.000|M510055530
1815|F0411043|F04|20260204|050846|000000007182243230|Y1|4.0000000000000000E+00|28.498|M510017230
1815|F0604049|F06|20260204|050117|000000007182344360|UB1|4.0000000000000000E+00|19.699|M510018800
1815|F0204008|F02|20260204|003044|000000007182607530|Y1|4.0000000000000000E+00|19.800|M510017230
1815|F0508030|F05|20260204|011647|000000007182644340|Y3|8.0000000000000000E+00|21.802|M510071300
1815|F0604050|F06|20260204|083054|000000007182644940|Y1|4.0000000000000000E+00|20.995|M510071300
1815|F0411001|F04|20260204|093916|000000007182645940|M1|4.0000000000000000E+00|23.702|M510071300
1815|F0508027|F05|20260204|032853|000000007182646940|UB2|4.0000000000000000E+00|25.906|M510018800
1815|F0204028|F02|20260204|111712|000000007182769640|UB2|2.0000000000000000E+00|23.803|M510018800
1815|F0204028|F02|20260204|081715|000000007183243230|YK1|2.0000000000000000E+00|24.998|M510017230
1815|F0312012|F03|20260204|042016|000000007183310810|M1|8.0000000000000000E+00|35.510|M510104300
1815|F0511024|F05|20260204|065202|000000007183321430|Y4|4.0000000000000000E+00|27.504|M510017230
1815|F0411001|F04|20260204|093547|000000007183324340|Y1|8.0000000000000000E+00|21.514|M510018800
1815|F0605010|F06|20260204|003907|000000007183344140|UB1|4.0000000000000000E+00|15.955|M510018800
1815|F0508017|F05|20260204|004444|000000007183374040|UB2|8.0000000000000000E+00|20.506|M510071300
1815|F0411006|F04|20260204|073031|000000007183374160|YA1|8.0000000000000000E+00|23.098|M510071300
1815|G0211003|G02|20260204|103537|000000007183554310|UA2|4.0000000000000000E+00|31.507|M510015010
1815|G0211006|G02|20260204|015714|000000007183557410|YA2|4.0000000000000000E+00|38.506|M510015010
1815|G0205007|G02|20260204|025349|000000007183557710|B1|2.0000000000000000E+00|34.999|M510015010
1815|F0204047|F02|20260204|031636|000000007183607730|UB1|1.0000000000000000E+00|19.800|M510017230
1815|F0312001|F03|20260204|081209|000000007183644740|UB2|8.0000000000000000E+00|21.197|M510071300
1815|F0511017|F05|20260204|054119|000000007183645440|UB2|8.0000000000000000E+00|18.000|M510071300
1815|F0508028|F05|20260204|003305|000000007183645940|UB1|4.0000000000000000E+00|22.795|M510071300
1815|F0605002|F06|20260204|072329|000000007183656140|Y1|1.0000000000000000E+00|15.901|M510018800
1815|F0605004|F06|20260204|104818|000000007183769640|UB2|2.0000000000000000E+00|13.601|M510018800
1815|F0605018|F06|20260204|070115|000000007183903760|UB3|4.0000000000000000E+00|15.307|M510018800
1815|F0605014|F06|20260204|043230|000000007183904630|UB1|4.0000000000000000E+00|15.206|M510018830
1815|G0205002|G02|20260204|094020|000000007183907030|M1|4.0000000000000000E+00|16.301|M510018830
