Plant|Date|Machine|Celda|Dado|Turno|Fecha de Inicio|Fecha de Fin|Codigo|Num. Parte|Tiempo
1815|20260130|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20260130|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20260130|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20260130|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20260130|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20260130|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
1815|20250926|||||0000-00-0000:00:00|0000-00-0000:00:00|||
