Part Number|Description|Dep|PLN|Plant Mat Stat|Line|Unit/Bag|Unit/Box|UOM|Box Wgt Std|Stor.Conditions
S0071542920|82622-06010_XX 405N EI-2002 82622|E|Z2|40|G0211004|36.000|200.000|EA|2256.000|WE
S0071543111|82623-06010_XX 258L EI-2005 82623|E|Z2|40|G0211004|36.000|50.000|EA|1200.000|WE
S0071543116|82663-08010_XX 459N EI-2001 82663|E|Z2|40|G0211004|36.000|100.000|EA|1800.000|WE
S0071543423|Rear Spacer Holder|E|Z2|40|G0211001|36.000|400.000|EA|1620.000|WE
S0071544249|82622-08010_XX 405N EI-2002 82622|E|Z2|40|G0104023|36.000|150.000|EA|1566.000|WE
S0071574270|TPA|E|Z2|40|F0305022|36.000|450.000|EA|1251.000|WE
S0071578586|SPACER FOR METER CONNECTOR, MISC SPACER|E|Z2|40|F0101018|36.000|2000.000|EA|1660.000|WE
S0071579655|Rear Spacer Holder|E|Z2|40|F0101018|36.000|5000.000|EA|3800.000|WE
S7183632030|Connector 2p 090 II Black|E|Z2|40|F0605005|36.000|800.000|EA|1400.000|WE
S7183902340P|KAIZEN 0.64 SYSTEM UNSEALED 8P FEMALE HO|E|Z2|40|F0311033|1000.000|1544.000|EA|7720.000|01
S7185106540E|1P 14 5MM UNSEALED FEMALE CONNECTOR|E|Z2|35|G0311005|1000.000|400.000|EA|800.000|01
S7185956330|TPA|E|Z2|35|G0322002|36.000|80.000|EA|3050.400|WE
S7185956430|TPA|E|Z2|35|G0422003|36.000|80.000|EA|3050.400|WE
S7185956530|TPA|E|Z2|35|G0422003|36.000|80.000|EA|3050.400|WE
S7185956730|1P HD-EM8 REAR WIRE CLAMP 95SQMM SHIELD|E|Z2|35|G0105020|36.000|880.000|EA|3828.000|WE
S7187002730|2P 1.5MM YESC(5.0MM PITCH) M: PBTGF15|E|Z2|40|F0605006|36.000|1000.000|EA|5340.000|WE
7298522330|Connector 8p Generation Y Black|E|Z1|40|E3C12007|1000.000|1080.000|EA|9612.000|
