Part Number|Description|Dep|PLN|Plant Mat Stat|Line|Unit/Bag|Unit/Box|UOM|Box Wgt Std|Stor.Conditions
M510109250|Resin CRASTIN FR684NH1|F|Z2|40||1000.000|1000.000|KG|1000.000|
M510092630|Resin ZYTEL 70G35EF+ZYTEL 70G35EF US|F|Z2|40||1000.000|1000.000|KG|453592.000|
71720953|TPA|E|Z2|40|F0605013|1000.000|3000.000|EA|4200.000|01
M510003900|Resin ZYTEL 408HS|F|Z2|40||1000.000|1000.000|KG|1000.000|
M510071300|CCP 3015-200X NC|F|Z2|40||1000.000|1000.000|KG|1000.000|
S854300331054|PF PBT CRASTIN SK602 BLUE|E|Z2|40|ME200101|1000.000|103.000|KG|103000.000|
M510055500|PBT DURANEX 515AC|F|Z2|40||1000.000|1000.000|KG|1000000.000|
M510003930|Resin ZYTEL 408HS|F|Z2|40||1000.000|1000.000|KG|1000.000|
M510006151|Resin CELANEX 401AC|F|Z2|40||4000.000|1000.000|KG|1000.000|
Y00000351|PB PBT TORAYCON 1401X06 BLACK|F|Z2|60||1000.000|1.000|KG|1.000|
M510047900|Resin ZYTEL MT409AHS|F|Z2|40||1000.000|1000.000|KG|1000.000|
S851101101058|PF CCP 3015-200R GRAY|E|Z2|40|ME200101|1000.000|102.000|KG|102102.000|
S854300331070|PF PBT CRASTIN SK602 GRAY|E|Z2|40|ME200101|1000.000|104.000|KG|104104.000|
M510006100|PBT CELANEX 401AC+CELANEX401AC+CELANEXã|F|Z2|40||18750.000|750.000|KG|750000.000|
S854300331059|PF PBT CRAST SK602 NC010 GRAY|E|Z2|40|ME200101|1000.000|102.000|KG|102102.000|
S854301255400|NY ZYTEL 70G35EF NC010 GREEN|E|Z2|40|ME200101|1000.000|102.000|KG|102102.000|
M510015040|Resin ZYTEL HLTN-HPA-LG2D|F|Z2|40||1000.000|1000.000|KG|1000.000|
M510015830|Resin NORYL GTX9400W|F|Z2|40||4000.000|25.000|KG|11339.800|
S854340135400|NY 66N ZYTEL 70G35HSL GREEN|E|Z2|40|ME200101|1000.000|104.000|KG|104104.000|
S7185106630E|1P 14 5MM UNSEALED FEMALE CONNECTOR KEYW|E|Z2|35|G0311012|1000.000|400.000|EA|4.400|01
S854300331062|PF PBT CRAST SK602 NC010 BROW|E|Z2|40|ME200101|1000.000|103.000|KG|103103.000|
S854300441058|PF PBT CRAS CE2560 NC010 GRAY|E|Z2|40|ME200101|1000.000|102.000|KG|102102.000|
M510055530|PBT DURANEX 515AC|F|Z2|40||1000.000|1000.000|KG|1000000.000|
M510013100|PP WPP231H|F|Z2|40||1000.000|680.000|KG|680000.000|
M510129130|Resin TORAYCON 1101G-15U|F|Z2|40||1000.000|816.470|KG|816.470|
S854300330034|PF PBT CAR SK602 NC010 GRAY|E|Z2|40|ME200101|1000.000|100.000|KG|100000.000|
M510129100|Resin TORAYCON 1101G-15U|F|Z2|40||1000.000|816.470|KG|816.470|
M510017200|Resin CRASTIN CE2560|F|Z2|40||1000.000|1000.000|KG|1000.000|
S854300331056|PF PBT CRAS SK602 NC010 GREEN|E|Z2|40|ME200101|1000.000|102.000|KG|104040.000|
S851101071056|PF CCP 3015-200X GREEN|E|Z2|40|ME200101|1000.000|102.000|KG|102000.000|
S851101071059|PF CCP 3015-200X GRAY|E|Z2|40|ME200101|1000.000|102.000|KG|102102.000|
M510018200|PBT HR 5330 HF NA|F|Z2|40||1000.000|1000.000|KG|1000000.000|
M510065230|Resin D201G15-DE3028 TW+SHINITE D201G15|F|Z2|40||1000.000|25.000|KG|25.000|
S851101101061|PF CCP 3015-200R GRAY DARK|E|Z2|40|ME200101|1000.000|103.000|KG|103103.000|
S854300441064|PF PBT CRASTIN CE2560 RED|E|Z2|40|ME200101|1000.000|103.000|KG|103103.000|
S854340131065|NY 66N ZYTEL 70G35HSL BLACK|E|Z2|40|ME200101|1000.000|104.000|KG|104104.000|
Y00000341|PP PP (UNFILLED) J109UB NATUR|F|Z2|40||1000.000|680.000|KG|680.000|
M510018800|Resin CRASTIN SK602|F|Z2|40||1000.000|1000.000|KG|1000.000|
M510092600|Resin ZYTEL 70G35EF+ZYTEL 70G35EF US|F|Z2|40||1000.000|1000.000|KG|453592.000|
M510015150|Resin ZYTEL HLTN-HPA-LG2D|F|Z2|40||1000.000|1000.000|KG|1000.000|
M510017230|PBT CRASTIN CE2560|F|Z2|40||1000.000|1000.000|KG|1000.000|
M510022230|Resin ZYTEL 70G35HSLRA4+Zytel 70G35HSLRA|F|Z2|40||1000.000|1000.000|KG|1000.000|
M510110030|Resin ZYTEL FR95G25V0NH|F|Z2|40||1000.000|1000.000|KG|1000.000|
Y00000157|SG-KGS6/HV (PA66-GF30 FR(40)) BLACK|F|Z2|40||2400.000|800.000|KG|16000.000|
M510057100|PBT DURANEX PBT-HF-HS1 (CS7000NY)+PBT-HF|F|Z2|40||1000.000|1000.000|KG|1000000.000|
7216644902|4.8 HBD TERMINAL ESC 34P PRODUCED IN NOR|F|Z2|05||1000.000|0.000|EA|0.000|
7114418102|PCB Header Terminal|F|Z2|05||1000.000|0.000|EA|0.000|
7114418002|PCB Header Terminal|F|Z2|05||1000.000|0.000|EA|0.000|
7114417602|1.5 SYSTEM CONNECTOR PCB TERMINAL|F|Z2|06||1000.000|0.000|EA|0.000|
M510009700|Resin ZS609|F|Z2|05||1000.000|0.000|KG|0.000|
Y00000346|AKULON SG-KGS6 ORANGE|F|Z2|05||1000.000|0.000|KG|0.000|
Y00000158|Resin AKULON SG-KGS6/HV|F|Z2|05||1000.000|0.000|KG|0.000|
M510018700|PBT SK-NA (NC010)|F|Z2|05||1000.000|0.000|KG|0.000|
Y00000336|PF PBT TORAYCON 1101G15U NATUR|F|Z2|05||1000.000|0.000|KG|0.000|
Y00000233|PB PC+PBT VALOX 508 6187 RED|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000232|NY PPE+PS+PA NORYL GTX918W 719|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000231|NY PPE+PS+PA NORYL GTX902 1710|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000229|NY PPE+PS+PA NORYL GTX9400W171|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000227|NY PPE+NORYL PX0871 WH2A017 NA|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000226|NY PPE+PS NORYL PX1127 701 BLA|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000223|NY PPE+PS NORYL PX0844 701BLAC|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000220|PB PBT VALOX 357U BK1066 BLACK|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000218|PB PBT VALOX DR51 1001 NATURAL|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000217|PF PBT VALOX 430 BLACK|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000216|PB PBT VAL VAC 3001 BK1066 BLACK|F|Z2|60||1000.000|1.000|KG|1.000|
M510008930|Resin DURANEX PBT-HS1(C7000NY)+PBT-HS1|F|Z2|60||1000.000|1.000|KG|1.000|
7216394702|Terminal 187 Female 4.8|F|Z2|60||1000.000|1.000|EA|1.500|
7195183302|1.50 PCB TERMINAL LEAD COMPLIANT|F|Z2|60||1000.000|1.000|EA|1.000|
71407393|BODY ECU|F|Z2|60||1000.000|1.000|EA|1.000|
71372380|Connector Seal / Packing Black|F|Z2|60||1000.000|1.000|EA|1.180|
71372340|Connector Seal / Packing Black|F|Z2|60||1000.000|1.000|EA|0.780|
71372330|Connector Seal / Packing Black|F|Z2|60||1000.000|1.000|EA|1.730|
Y00000403|ZYTEL 70G35HSLRA4 NC010 NYLON RESIN|F|Z2|40||1000.000|1000.000|KG|1000.000|
Y00000344|PB POCAN B3235 BLACK|F|Z2|35||1.000|1.000|KG|1.000|
Y00000219|PB PBT VALOX VAC3001 BROWN|F|Z2|60||1000.000|1.000|KG|1.000|
M510016100|Amodel AT-1116HS NA|F|Z2|35||1.000|1.000|KG|1000.000|
7298709230|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|9000.000|
7298709130|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|9000.000|
7298635430|Connector 8p 047 (1.2) Black|E|Z1|40|E3C12010|1430.000|1430.000|EA|6292.000|
7298631730|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298631630|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|150.000|
7298631530|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298631430|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298631030|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298630930|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298630830|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298630730|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298160130|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298159930|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298159730|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298159430|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298159330|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|9060.000|
7298159230|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|4830.000|
7298159030|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298158830|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298158730|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298158630|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298158530|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7297226230|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297226130|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297225930|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297225830|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297225730|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9435.000|
7297225630|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297225530|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297225430|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297225330|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297225230|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297225130|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
S854300331051|PF PBT CRASTIN SK602 NC010 YEL|E|Z2|40|ME200101|1000.000|102.000|KG|102102.000|
S854300441061|PF PBT CRAS CE2560 GRAY DARK|E|Z2|40|ME200101|1000.000|102.000|KG|102102.000|
S854100221061|PF PBT DURANEX 515AC EF2001 GR|E|Z2|40|ME200101|1000.000|104.000|KG|104104.000|
7287619610|Connector 2p SLV Dark Gray|E|Z1|40|E3C01001|504.000|504.000|EA|7207.200|
7287619710|Connector 2p SLV Dark Gray|E|Z1|40|E3C10015|504.000|504.000|EA|6854.400|
71856173|3P HD-EM8 HSS SHIPPING COVER|E|Z2|40|E1C11001|18.000|18.000|EA|18.000|01
71543344|Front Spacer Holder|F|Z2|60||1000.000|1.000|EA|0.200|BD
71505171|Screw 8mm|F|Z2|60||1000.000|1.000|EA|0.430|
71478976|Connector Clip|F|Z2|60||1000.000|1.000|EA|1.000|
71473192|Band Clip 175mm|F|Z2|60||1000.000|1.000|EA|1.870|
71454020|Nut|F|Z2|60||1000.000|1.000|EA|0.490|
71141266|PCB Header Terminal|F|Z2|60||1000.000|1.000|EA|0.060|
70581285|FILTER SHEET, PTFE W/H/D: 11.0/ 11.0/ .2|F|Z2|60||1000.000|1.000|EA|0.010|
Y00000316|CX 2020 ES3144K20 RED A1|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000315|CX 2020 ED3002K40 BLACK A1|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000283|N6 6N UBE 1013NW8 CA39280 LT B|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000282|N6 UBE 1013NW8 CA39243 BLUE|F|Z2|60||1000.000|1.000|KG|1.000|
7385165751|2P 8MM SP SEALED FEMALE HEADER ASSEMBLY|E|Z1|40|E3C09001|54.000|54.000|EA|4860.000|
7385116451|2P 8MM SP SEALED FEMALE HEADER ASSEMBLY|E|Z1|40|E3C09001|24.000|24.000|EA|2436.000|
7385113451|High Power Connector 2p Orange|E|Z1|40|E3C09001|54.000|54.000|EA|5437.422|
7385113351|High Power Connector 2p Orange|E|Z1|40|E3C09001|54.000|54.000|EA|4783.320|
7385106151|High Power Connector 2p Orange|E|Z1|40|E3C09001|54.000|54.000|EA|4971.564|
7298983530|Connector 8p 025 Black|E|Z1|40|E3C04001|1000.000|1800.000|EA|12006.000|
7298956830|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298956530|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298956430|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298956230|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298956130|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298217330|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|9006.000|
7298217230|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|9006.000|
7298217130|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|9006.000|
7298207930|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|9060.000|
7298207830|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|9060.000|
7298207730|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8640.000|
7298207630|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298207530|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298207430|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298207230|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8640.000|
7298207130|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7297297430|Connector 12p 047 (1.2) Black|E|Z1|40|E3C10031|693.000|693.000|EA|4643.100|
7297291830|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297291730|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297291630|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297291530|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297291330|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9435.000|
7297291030|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9435.000|
7297290830|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297290730|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297290630|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297290330|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9435.000|
S85430K004913|NY N66 LEONA 1402S BROWN|E|Z2|40|ME200101|1000.000|105.000|KG|105105.000|
M510014900|Resin ZYTEL HLTN-HPA-LG2D|F|Z2|40||1000.000|1000.000|KG|1000.000|
S85430K004908|NY N66 LEONA 1402S BLACK|E|Z2|40|ME200101|1000.000|103.000|KG|103103.000|
S851101071056M|PF CCP 3015-200X GREEN|E|Z2|40|ME200101|1000.000|102.000|KG|102102.000|WE
7397060640|6P YESC 1.5MM SEALED MALE TRANSMISSION B|E|Z1|20|E3C01001|1000.000|240.000|EA|240.000|
M510057190|PBT DURANEX PBT-HF-HS1 (CS7000NY)+PBT-HF|F|Z2|40||1000.000|1000.000|KG|1000000.000|
Y00000335|PF PBT TORAYCON 1101G15UB BLAC|F|Z2|05||1000.000|0.000|KG|0.000|
Y00000277|NB23631238 ORANGE PBT TORAYCON|F|Z2|05||1000.000|0.000|KG|0.000|
7137252060|Connector Seal / Packing Green|F|Z2|05||1000.000|0.000|EA|0.000|
M510006900|Resin DURANEX 601AC|F|Z2|05||1000.000|0.000|KG|0.000|
M510021890|Resin DURANEX HF-HS1 CS7000NY+DURANEX PB|F|Z2|05||1000.000|0.000|KG|0.000|
Y00000272|CPBT02799 PBT REED LITE RED|F|Z2|06||1000.000|0.000|KG|0.000|
Y00000270|AC72620032 HTN 52G SERIES .25|F|Z2|06||1000.000|0.000|KG|0.000|
74594913|DELPHI HVIL PIGTAIL WIRE 2|F|Z2|05||1000.000|0.000|EA|0.000|
74594912|DELPHI HVIL PIGTAIL WIRE 1|F|Z2|05||1000.000|0.000|EA|0.000|
72479607|Connector Clip|F|Z2|06||1000.000|0.000|EA|0.000|
71479607|Connector Clip|F|Z2|06||8000.000|0.000|EA|0.000|
7282644640|Connector 4p 110 Light Gray|F|Z2|60||1000.000|1.000|EA|8.150|BD
7172572830|Single Wire Seal Black|F|Z2|60||1000.000|1.000|EA|0.100|
7158865150|Connector Clip|F|Z2|60||1000.000|1.000|EA|0.430|
7158843550|TPA|F|Z2|60||1000.000|1.000|EA|0.370|
7158349180|Mat Seal 5p|F|Z2|60||1000.000|1.000|EA|2.000|
7158308580|Mat Seal 28p|F|Z2|60||1000.000|1.000|EA|3.500|
7157423530|Rear Spacer Holder|F|Z2|60||1000.000|1.000|EA|0.390|
7145937704|Bush|F|Z2|60||1000.000|1.000|EA|1.040|
7140326402|MINI FUSE F-F TERMINAL, KLF-5 Weight: 1.|F|Z2|60||1000.000|1.000|EA|1.040|
7137327630|Connector Seal / Packing Black|F|Z2|60||1000.000|1.000|EA|1.920|
7137327530|Connector Seal / Packing Black|F|Z2|60||1000.000|1.000|EA|2.350|
0_YDMTMPLT_1815_FG|YCC Finished Goods Template|E|Z1|10||1000.000|0.000|EA|0.000|
S9999991815|YCC Semifinished Material Template|E|Z2|20||1000.000|0.000|EA|0.000|WE
7122412330|Connector 2p 375 L Black|E|Z1|40|E1C11001|700.000|700.000|EA|5530.000|
TEMP02531286|Re-assigned to YPN 7174327110 (4440833)|E|Z1|90||1000.000|0.000|EA|0.000|
TEMP02525625|Clip|E|Z1|90||1000.000|0.000|EA|0.000|
TEMP02524752|TRMNL-EYLT TYP|E|Z1|90||1000.000|0.000|EA|0.000|
7157781880_10|Rear Spacer Holder|E|Z1|40|E1C11001|1000.000|1000.000|EA|1320.000|
712919018W|Connector 40p 060+110 Brown|E|Z1|40|E1C11001|1000.000|200.000|EA|9420.000|
430CQ1951|Textile/Cloth Tape 19mm O|E|Z1|90||1000.000|0.000|M|0.000|
180FK2076E7|LT Single Wire EEFCT 35 R/GY|E|Z1|90||1000.000|0.000|M|0.000|
4507960233000110|Vinyl Tube 9.5/9.5mm L:110mm B|E|Z1|90||1000.000|0.000|EA|0.000|
7298161530|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298161330|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|9060.000|
7298161230|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298161130|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298161030|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298160930|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|9060.000|
7298160830|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298160630|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|9060.000|
7298160530|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298160430|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8619.000|
7298160330|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7297583740|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297583640|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297583440|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9435.000|
7297583340|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9435.000|
7297583240|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9435.000|
7297583040|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297582940|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9435.000|
7297582040|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297581740|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297575930|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9435.000|
7297575830|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
Y00000311|PB CELANEX 4202 ED3002 BLACK|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000280|N6 6N UBE 1013NW8 CA9442 BROWN|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000279|6N UBE 1013NW8 CA8703 BLACK|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000278|CYN 13251-000027056NY GREEN|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000274|00081053-CH32269|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000271|AB23820011 AB23-Z0C-0I ORANGE|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000269|00034209 HTN ZYTEL GREEN|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000266|00052482 GRAY|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000262|1011FB 11N4374M BROWN C/C|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000260|00052481 GREEN|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000257|NY ZYTEL FR7026V0F NC010|F|Z2|60||1000.000|1.000|KG|1.000|
7172624250|Mat Seal 4p|F|Z2|35||1.000|1.000|EA|1.500|
7137350360|Connector Seal / Packing Green|F|Z2|35||1.000|1.000|EA|2.300|
7137349550|Connector Seal / Packing Red|F|Z2|35||1.000|1.000|EA|0.250|
7137271950|Connector Seal / Packing Red|F|Z2|60||1000.000|1000.000|EA|1180.000|
7137271250|Connector Seal / Packing Red|F|Z2|60||1000.000|1.000|EA|0.980|
7137229880|Connector Seal / Packing Brown|F|Z2|60||1000.000|1.000|EA|0.300|
7137194880|Connector Seal / Packing Brown|F|Z2|60||1000.000|1.000|EA|1.080|
7137158750|Connector Seal / Packing Orange|F|Z2|60||1000.000|1.000|EA|1.900|
71450198|Washer 10.8mm|F|Z2|40||1000.000|10000.000|EA|10.000|
71371291|O-Ring 8.9mm|F|Z2|60||1000.000|1.000|EA|0.070|
M510033730|Resin NOVAMID 1310N6+NOVAMID X1310N6|F|Z2|60||1000.000|1.000|KG|1.000|
7298630130|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|9000.000|
7298629930|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|9000.000|
7298629630|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|9000.000|
7298629430|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|9000.000|
7298629330|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|9000.000|
7298629230|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|9000.000|
7298629130|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298628930|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298628830|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298628730|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298628630|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|9000.000|
7298156830|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298156730|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298156630|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298156530|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298156430|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298156330|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298156230|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298156130|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298156030|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298155930|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298155830|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
