Part#|Plant|Warehouse|Inv. Lov|QTY|Dept|Stock Date
71851965|1815|181|TRAILER01|96.000|F|20250120
71851965|1815|181|TRAILER01|96.000|F|20250120
71851965|1815|181|TRAILER01|96.000|F|20250120
71851965|1815|181|TRAILER01|96.000|F|20250120
71851965|1815|181|TRAILER01|96.000|F|20250120
71851965|1815|181|TRAILER01|96.000|F|20250120
71851965|1815|181|TRAILER01|96.000|F|20250120
71851965|1815|181|TRAILER01|96.000|F|20250120
71851965|1815|181|TRAILER01|96.000|F|20250120
71851965|1815|181|TRAILER01|96.000|F|20250120
71851965|1815|181|TRAILER01|96.000|F|20250120
71851965|1815|181|TRAILER01|96.000|F|20250227
71851965|1815|181|TRAILER01|96.000|F|20250227
71851965|1815|181|TRAILER01|96.000|F|20250227
71851965|1815|181|TRAILER01|96.000|F|20250227
71851965|1815|181|TRAILER01|96.000|F|20250227
71851965|1815|181|TRAILER01|96.000|F|20250227
71851965|1815|181|TRAILER01|96.000|F|20250227
71851965|1815|181|TRAILER01|96.000|F|20250227
71851965|1815|181|TRAILER01|96.000|F|20250227
71851965|1815|181|TRAILER01|96.000|F|20250227
71851965|1815|181|TRAILER01|96.000|F|20250227
71851965|1815|181|TRAILER01|96.000|F|20250227
71851965|1815|181|TRAILER01|96.000|F|20250227
71851965|1815|181|TRAILER01|96.000|F|20250227
71851965|1815|181|TRAILER01|96.000|F|20250227
71851965|1815|181|TRAILER01|96.000|F|20250227
71851965|1815|181|TRAILER01|96.000|F|20250227
71851965|1815|181|TRAILER01|96.000|F|20250227
71851965|1815|181|TRAILER01|96.000|F|20250227
71851965|1815|181|TRAILER01|96.000|F|20241218
71851965|1815|181|TRAILER01|96.000|F|20241218
71851965|1815|181|TRAILER01|96.000|F|20250227
71851965|1815|181|TRAILER01|96.000|F|20250127
71851965|1815|181|TRAILER01|96.000|F|20250127
71851965|1815|181|TRAILER01|96.000|F|20250127
71851965|1815|181|TRAILER01|96.000|F|20250127
